Category,Item Key,Display Name,Current Emoji,Description,Expected Filename,Already Has Image
Rocket & Nuclear,uranium235,Uranium-235,🟩,Small glowing green-yellow pellet (fissile uranium).,uranium_235.png,No
Rocket & Nuclear,uranium238,Uranium-238,🟫,Small glowing grey-green pellet (fertile uranium).,uranium_238.png,No
Rocket & Nuclear,uraniumFuelCell,Uranium Fuel Cell,☢️,Yellow fuel rod/cell with nuclear symbol.,uranium_fuel_cell.png,No
Rocket & Nuclear,nuclearFuel,Nuclear Fuel,☢️,Enriched nuclear fuel cell (brighter yellow than regular fuel cell).,nuclear_fuel.png,No
Rocket & Nuclear,concrete,Concrete,🟫,Grey flat square of concrete.,concrete.png,No
Rocket & Nuclear,landfill,Landfill,🏝️,Brown gravel/earth tile.,landfill.png,No
Science Packs,redScience,Automation Science Pack,🔴,Red flask/vial. The starter science pack.,science_pack_1.png,No
Science Packs,greenScience,Logistic Science Pack,🟢,Green flask/vial. Second tier science pack.,science_pack_2.png,No
Science Packs,blueScience,Chemical Science Pack,🧪,Blue flask/vial. Third tier science pack.,science_pack_3.png,No
Science Packs,blackScience,Military Science Pack,⬛,Dark/black flask. Military research pack.,military_science_pack.png,No
Science Packs,purpleScience,Production Science Pack,🟣,Purple flask. Production research pack.,production_science_pack.png,No
Science Packs,yellowScience,Utility Science Pack,🟡,Yellow flask. Utility research pack.,utility_science_pack.png,No
Science Packs,spaceScience,Space Science Pack,🤍,White flask with stars. Dropped by rocket launches.,space_science_pack.png,No
Modules,speedModule,Speed Module,💨,Blue rectangular module with arrow — Mk1.,speed_module_1.png,No
Modules,speedModule2,Speed Module 2,💨,Blue rectangular module with arrow — Mk2 (slightly brighter).,speed_module_2.png,No
Modules,speedModule3,Speed Module 3,💨,Blue rectangular module with arrow — Mk3 (brightest).,speed_module_3.png,No
Modules,efficiencyModule,Efficiency Module,🌱,Green rectangular module with leaf — Mk1.,efficiency_module_1.png,No
Modules,efficiencyModule2,Efficiency Module 2,🌱,Green rectangular module with leaf — Mk2.,efficiency_module_2.png,No
Modules,efficiencyModule3,Efficiency Module 3,🌱,Green rectangular module with leaf — Mk3.,efficiency_module_3.png,No
Modules,productivityModule,Productivity Module,📈,Pink/red rectangular module with bar chart — Mk1.,productivity_module_1.png,No
Modules,productivityModule2,Productivity Module 2,📈,Pink/red rectangular module with bar chart — Mk2.,productivity_module_2.png,No
Modules,productivityModule3,Productivity Module 3,📈,Pink/red rectangular module with bar chart — Mk3.,productivity_module_3.png,No
Logistics,transportBelt,Transport Belt,🔁,Yellow conveyor belt tile with arrows.,transport_belt.png,No
Logistics,inserter,Inserter,🔁,Yellow robotic arm inserter.,inserter.png,No
Logistics,pump,Pump,⛽,Grey pipe pump.,pump.png,No
Logistics,rail,Rail,🛤️,Two metal rails.,rail.png,No
Logistics,trainStop,Train Stop,🚉,Train station post/sign.,train_stop.png,No
Logistics,railSignal,Rail Signal,🚦,Rail-mounted signal post.,rail_signal.png,No
Logistics,railChainSignal,Rail Chain Signal,🚦,Rail-mounted chain signal post (orange/yellow variant).,rail_chain_signal.png,No
Logistics,locomotive,Locomotive,🚂,Grey/yellow train engine.,locomotive.png,No
Logistics,cargoWagon,Cargo Wagon,🚃,Grey enclosed cargo wagon.,cargo_wagon.png,No
Logistics,fluidWagon,Fluid Wagon,🚃,Grey cylindrical fluid tanker wagon.,fluid_wagon.png,No
Logistics,artilleryWagon,Artillery Wagon,💣,Armored wagon with artillery cannon.,artillery_wagon.png,No
Logistics,car,Car,🚗,Small yellow scout car.,car.png,No
Logistics,tankVehicle,Tank,🪖,Armored military tank.,tank.png,No
Logistics,spidertron,Spidertron,🕷️,Large spider-legged mech vehicle.,spidertron.png,No
Logistics,spidertronRemote,Spidertron Remote,🎮,Remote control device for Spidertron.,spidertron_remote.png,No
Logistics,repairPack,Repair Pack,🩹,Orange tool/wrench repair kit.,repair_pack.png,No
Buildings,stoneFurnaceItem,Stone Furnace,🔥,Small stone oven with fire. Basic smelting building.,stone_furnace.png,No
Buildings,steelFurnaceItem,Steel Furnace,🟧,Larger steel oven. Faster smelting.,steel_furnace.png,No
Buildings,electricFurnaceItem,Electric Furnace,⚡,Metallic electric smelting furnace.,electric_furnace.png,No
Buildings,burnerMinerItem,Burner Mining Drill,⛏️,Small mechanical drill that burns coal.,burner_mining_drill.png,No
Buildings,electricMinerItem,Electric Mining Drill,🔌,Larger electric mining drill with antenna.,electric_mining_drill.png,No
Buildings,assemblyMachine1Item,Assembly Machine Mk1,🏭,Small yellow assembly machine.,assembler_machine_1.png,No
Buildings,assemblyMachine2Item,Assembly Machine Mk2,🏗️,Medium blue assembly machine.,assembler_machine_2.png,No
Buildings,assemblyMachine3Item,Assembly Machine Mk3,🏗️,Large advanced blue/grey assembly machine.,assembler_machine_3.png,No
Buildings,offshorePumpItem,Offshore Pump,💧,Blue water pump placed on water edge.,offshore_pump.png,No
Buildings,boilerItem,Boiler,♨️,Coal-fired water boiler.,boiler.png,No
Buildings,steamEngineItem,Steam Engine,⚡,Large steam power generation engine.,steam_engine.png,No
Buildings,solarPanelItem,Solar Panel,☀️,Blue flat solar panel.,solar_panel.png,No
Buildings,accumulatorItem,Accumulator,🔋,Blue/grey energy storage unit.,accumulator.png,No
Buildings,nuclearReactorItem,Nuclear Reactor,⚛️,Yellow cube-shaped nuclear reactor building.,nuclear_reactor.png,No
Buildings,heatPipeItem,Heat Pipe,🌡️,Glowing orange heat-conducting pipe.,heat_pipe.png,No
Buildings,heatExchangerItem,Heat Exchanger,🔄,Industrial heat exchanger unit.,heat_exchanger.png,No
Buildings,steamTurbineItem,Steam Turbine,💫,Large turbine generator for steam power.,steam_turbine.png,No
Buildings,radarItem,Radar,📡,Rotating radar dish on a tower.,radar.png,No
Buildings,labItem,Lab,🔬,Purple laboratory building with flasks.,lab.png,No
Buildings,pumpjackItem,Pumpjack,🛢️,Nodding donkey oil pump.,pumpjack.png,No
Buildings,oilRefineryItem,Oil Refinery,🏭,Large industrial oil refinery tower.,oil_refinery.png,No
Buildings,chemicalPlantItem,Chemical Plant,🧫,Blue chemical processing plant.,chemical_plant.png,No
Buildings,centrifugeItem,Centrifuge,⭕,Spinning centrifuge with blue drum.,centrifuge.png,No
Buildings,beaconItem,Beacon,📻,Grey module-broadcasting beacon tower.,beacon.png,No
Buildings,rocketSiloItem,Rocket Silo,🚀,Massive rocket launch silo.,rocket_silo.png,No
Military,firearmMagazine,Firearm Magazine,🔫,Grey bullet magazine clip.,firearm_magazine.png,No
Military,piercingRoundsMag,Piercing Rounds Magazine,🎯,Yellow-tipped armour-piercing magazine.,piercing_rounds_magazine.png,No
Military,uraniumRoundsMag,Uranium Rounds Magazine,☢️,Green-tipped uranium-core magazine.,uranium_rounds_magazine.png,No
Military,shotgunShells,Shotgun Shells,🔴,Red shotgun shell cartridge.,shotgun_shells.png,No
Military,piercingShotgunShells,Piercing Shotgun Shells,🔴,Grey/silver shotgun shell with steel tip.,piercing_shotgun_shells.png,No
Military,artilleryShell,Artillery Shell,💣,Large artillery projectile shell.,artillery_shell.png,No
Military,atomicBomb,Atomic Bomb,☢️,Nuclear warhead bomb.,atomic_bomb.png,No
Military,grenade,Grenade,💣,Green hand grenade with pin.,grenade.png,No
Military,slowdownCapsule,Slowdown Capsule,❄️,Blue ice/slow capsule.,slowdown_capsule.png,No
Military,poisonCapsule,Poison Capsule,☠️,Green toxic gas capsule.,poison_capsule.png,No
Military,landMine,Land Mine,💣,Flat circular land mine.,land_mine.png,No
Military,gunTurretItem,Gun Turret,🗼,Grey defensive gun turret.,gun_turret.png,No
Military,laserTurretItem,Laser Turret,⚡,Blue energy-beam laser turret.,laser_turret.png,No
Military,flamethrowerTurretItem,Flamethrower Turret,🔥,Orange flame-throwing defensive turret.,flamethrower_turret.png,No
Military,artilleryTurretItem,Artillery Turret,💣,Large artillery cannon turret.,artillery_turret.png,No
Military,stoneWall,Stone Wall,🧱,Grey stone perimeter wall section.,stone_wall.png,No
